# scale mvir dist vel rvir rs vmax rvmax x y z
1.0 274300000.0 0.23004490012821982 50.505581439299256 13.347 0.139 17.94 0.87639 63.21445 61.59797 70.94373
0.98733 274100000.0 0.2307701079310814 62.717883297372126 13.417 0.14 18.2 0.95469 63.2095 61.61758 70.90562
0.97483 274500000.0 0.23130696614988763 74.03881355398461 13.496 0.146 17.92 0.99923 63.20449 61.63737 70.867
0.96248 274800000.0 0.23127898347063086 91.14285664062803 13.571 0.153 17.94 0.99259 63.19955 61.65723 70.82774
0.95029 275200000.0 0.23054332850549772 106.4227998212903 13.649 0.161 18.03 0.83942 63.19458 61.67737 70.78799
0.93825 276600000.0 0.22684425804526187 104.98995502267948 13.74 0.167 17.91 1.00092 63.18972 61.69756 70.74739
0.92637 276300000.0 0.2214684857831018 114.76686050124287 13.804 0.175 17.99 0.90508 63.18475 61.71795 70.70625
0.91463 277100000.0 0.21549648244287292 137.0130881396745 13.883 0.191 18.01 0.92546 63.17984 61.73847 70.66454
0.90305 276900000.0 0.20788351982886566 170.2588663689686 13.947 0.199 17.89 1.37313 63.17496 61.75919 70.62215
0.89161 277000000.0 0.195438009406954 173.87875656381888 14.013 0.198 18.03 1.022 63.16999 61.77993 70.5791
0.88031 283300000.0 0.18156489565240802 147.84854410215758 14.182 0.198 18.17 0.80084 63.16508 61.80082 70.53545
0.86916 284300000.0 0.16921086721123488 131.42156453465952 14.262 0.222 17.96 0.9388 63.16016 61.82187 70.49119
0.85815 283900000.0 0.15837717747035848 119.68526590321208 14.318 0.229 18.05 1.02574 63.15527 61.84296 70.44618
0.84728 283700000.0 0.14890944443078044 111.24084914852314 14.377 0.25 17.91 1.08435 63.15027 61.86408 70.4005
0.83655 282800000.0 0.14085839040865547 103.8683089964196 14.421 0.244 18.0 0.88143 63.1453 61.8853 70.35414
0.82595 283000000.0 0.1340186079865113 98.0216141081842 14.484 0.233 18.02 0.99018 63.14017 61.90667 70.30714
0.81549 282300000.0 0.1285244524368585 92.52873780276538 14.531 0.231 17.75 0.81037 63.13515 61.92792 70.25939
0.80516 275400000.0 0.12414401798048262 89.19946770903512 14.467 0.215 17.93 1.40531 63.12984 61.9494 70.21101
0.79496 273700000.0 0.12087606498107167 86.37832493257764 14.493 0.213 18.21 0.96407 63.12461 61.97079 70.16193
0.78489 273600000.0 0.11852017158505321 83.44397219863222 14.545 0.219 18.06 1.10531 63.11913 61.99219 70.11205
0.77495 273400000.0 0.11724974337744151 81.85953513558927 14.596 0.244 17.94 1.34001 63.11361 62.0135 70.06136
0.76513 274200000.0 0.11672129937143225 79.55108109173058 14.662 0.274 17.76 1.76269 63.10772 62.03485 70.01003
0.75544 274700000.0 0.11679968153271203 77.97237626548174 14.724 0.289 17.8 1.72485 63.1016 62.056 69.95772
0.74587 273900000.0 0.11779470525996863 76.61127569284085 14.761 0.272 18.0 1.34719 63.09525 62.07721 69.90476
0.73643 273300000.0 0.11933242614944793 75.75762366168419 14.799 0.304 17.82 1.55711 63.08871 62.09821 69.85105
0.7271 273100000.0 0.1212077674755077 73.75604572280659 14.845 0.31 17.89 1.16333 63.08161 62.11926 69.79639
0.71789 273800000.0 0.12335870207918372 72.37885588392092 14.905 0.305 18.07 1.2858 63.07404 62.14 69.74087
0.70879 273300000.0 0.12566286062050713 70.8820301282495 14.943 0.305 17.96 1.06137 63.06602 62.16054 69.68465
0.69982 273800000.0 0.1281555733851154 69.32360587658705 14.999 0.299 17.85 1.54336 63.05765 62.18063 69.62771
0.69095 274200000.0 0.1303339588416507 67.92678464088534 15.05 0.321 18.0 1.45869 63.04872 62.20042 69.57001
0.6822 275000000.0 0.13227266900139498 66.2521729888973 15.109 0.317 17.84 1.32981 63.0391 62.21991 69.51157
0.67356 275100000.0 0.1338073758070189 66.2130231163505 15.155 0.317 17.84 1.42933 63.02895 62.23875 69.45253
0.66503 276700000.0 0.13483358188836939 65.61873990203524 15.226 0.332 18.33 1.55711 63.01818 62.25716 69.39295
0.6566 277100000.0 0.13513197593026977 65.00096783985114 15.276 0.342 18.09 1.48319 63.00663 62.27488 69.33292
0.64828 277000000.0 0.13465584759782534 65.52691105422548 15.314 0.394 17.89 1.12033 62.99443 62.29194 69.27251
0.64007 278000000.0 0.13337510329734065 67.10125301449843 15.373 0.395 18.22 1.12846 62.98138 62.30831 69.21175
0.63197 280000000.0 0.13099853928690725 69.55024006039896 15.449 0.43 17.95 1.39617 62.96749 62.32387 69.15085
0.62396 280400000.0 0.12725146736121581 72.93697296372036 15.494 0.457 17.96 1.8636 62.95281 62.33863 69.09002
0.61606 282900000.0 0.12265649576451045 77.37306151157966 15.578 0.459 17.94 1.97249 62.93719 62.35267 69.02891
0.60825 284600000.0 0.11704477581947327 82.33280904173179 15.646 0.507 17.93 1.68217 62.92075 62.36583 68.96792
0.60055 286800000.0 0.11032899515305677 88.06794473304153 15.722 0.51 17.82 1.77777 62.90348 62.37794 68.90735
0.59294 289900000.0 0.10251276737771252 92.13607930924702 15.814 0.469 18.28 1.09288 62.88519 62.38919 68.84722
0.58543 295400000.0 0.09393143768577446 93.56979834633405 15.948 0.601 18.56 2.52956 62.86546 62.39986 68.78774
0.57802 301400000.0 0.08493474372935629 86.07026683205524 16.09 0.441 20.19 1.49314 62.84609 62.40879 68.7292
0.57069 298900000.0 0.0761752574884896 79.80643640251765 16.078 1.084 15.95 4.37967 62.82457 62.4187 68.6725
0.56346 307100000.0 0.06928871222994983 71.81554343042706 16.257 1.299 15.15 5.91546 62.80349 62.4275 68.61701
0.55633 309500000.0 0.06363934428388655 66.82327238243526 16.332 1.33 15.13 6.70139 62.78259 62.43547 68.56267
0.54928 310500000.0 0.05925432316729419 62.194858867756345 16.379 1.088 15.45 6.74824 62.76171 62.44278 68.50935
0.54232 307200000.0 0.05572146628978982 57.78386581677423 16.353 0.938 15.97 6.43566 62.74109 62.44936 68.4572
0.53545 300900000.0 0.053105466991016266 52.32054527815588 16.269 0.754 16.76 5.48456 62.72083 62.45514 68.40587
0.52867 296400000.0 0.05149768263687336 47.38246199817539 16.216 0.715 17.14 5.25492 62.70095 62.46049 68.35536
0.52197 301500000.0 0.05072279750248333 44.965140594702135 16.336 0.767 16.82 5.71959 62.68126 62.46577 68.30566
0.51536 303900000.0 0.050678502413503274 43.665954345912795 16.407 0.946 16.12 6.78993 62.6615 62.47133 68.257
0.50883 166800000.0 0.0508514283878523 42.7061540750323 13.454 0.587 14.55 1.65994 62.64204 62.47711 68.20967
0.50239 174600000.0 0.051295856262526446 42.973363456098234 13.685 0.622 14.69 1.5425 62.62297 62.48304 68.16367
0.49602 173100000.0 0.05179195020495397 43.97520058362026 13.665 0.719 14.28 1.91231 62.60471 62.48925 68.11906
0.48974 316700000.0 0.05219144740231354 45.441782825714725 16.739 1.772 15.01 2.07866 62.58727 62.49548 68.07533
0.48354 314600000.0 0.052475889042133066 46.72583806023918 16.726 1.565 15.06 2.01051 62.57068 62.50188 68.03256
0.47741 313100000.0 0.052942273080548594 47.96805712059474 16.724 1.53 15.12 1.83449 62.55475 62.50852 67.99076
0.47137 313100000.0 0.05362079992473121 49.48222813917589 16.746 1.773 14.95 1.68029 62.53972 62.5153 67.94977
0.4654 315800000.0 0.05449614911009603 51.11205067410267 16.815 1.78 14.98 2.08952 62.52528 62.52244 67.90921
0.4595 317500000.0 0.05598143153038637 51.13526555756543 16.868 2.081 15.0 2.0541 62.51151 62.52957 67.86926
0.45368 326400000.0 0.05785534295581988 52.17873679237843 17.045 2.468 15.07 2.10069 62.49835 62.53695 67.82957
0.44793 333600000.0 0.06061694453863601 53.9743869285424 17.192 2.852 14.99 2.70042 62.48552 62.54458 67.79031
0.44226 340100000.0 0.06376898857158894 54.546632825558184 17.322 3.079 14.99 2.17142 62.47323 62.55229 67.75143
0.43666 342000000.0 0.06723751129492438 53.68393468544056 17.375 2.923 15.05 2.05245 62.46132 62.56029 67.71313
0.43113 344900000.0 0.07093137112953707 52.79061371362915 17.442 2.58 15.24 1.99075 62.4497 62.56819 67.67513
0.42566 349000000.0 0.07490959532591576 54.848497692026896 17.529 2.352 15.83 11.3092 62.43878 62.57613 67.63712
0.42027 342500000.0 0.07955477798112802 58.40856793498299 17.439 1.942 16.4 9.88169 62.42817 62.58419 67.59942
0.41495 337400000.0 0.08468407533544238 57.69643251967538 17.369 1.717 16.86 9.29421 62.41788 62.59196 67.56226
0.40969 373400000.0 0.0892535845980691 52.62975099116627 17.985 2.139 17.21 9.53238 62.40783 62.59975 67.52496
0.4045 371000000.0 0.0930921342284546 45.90795278811945 17.963 2.37 16.77 10.7472 62.39806 62.60738 67.48752
0.39938 367300000.0 0.09662800518897952 40.3234053773362 17.919 2.924 16.07 12.5813 62.38869 62.61487 67.45017
0.39432 359300000.0 0.09956370225805977 37.09975440971824 17.803 3.618 16.0 2.45553 62.37926 62.62252 67.41252
0.38933 341000000.0 0.10240568593343295 35.1918714242884 17.512 3.088 15.95 2.5874 62.36985 62.63004 67.37497
0.3844 249100000.0 0.10532067842452582 36.16788504279529 15.785 1.629 15.82 3.27612 62.36053 62.63776 67.33746
0.37953 226200000.0 0.10853506498567211 40.28737444528162 15.298 1.414 15.77 3.81233 62.35114 62.64551 67.30007
0.37472 218100000.0 0.11244233677891352 42.934392637509845 15.124 1.351 15.67 2.66043 62.34199 62.65316 67.26305
0.36997 211900000.0 0.11659117790256045 45.57406151454583 14.99 1.249 15.82 2.63922 62.33289 62.66074 67.22603
0.36529 209200000.0 0.12065611241254863 46.44576157064551 14.939 1.261 16.01 2.95752 62.32378 62.66842 67.189
0.36066 206900000.0 0.12457137858207736 46.96233149149948 14.894 1.292 15.87 3.18721 62.31489 62.67641 67.15218
0.35609 204900000.0 0.1287142744666474 47.49831567413012 14.856 1.288 15.68 2.22989 62.30609 62.68426 67.11551
0.35158 203600000.0 0.13286734554749377 48.104711684499094 14.834 1.376 15.69 3.55265 62.29733 62.69204 67.07903
0.34713 202400000.0 0.1369247805303672 48.52426338406455 14.814 1.366 15.65 3.41941 62.2887 62.69976 67.04272
0.34273 198800000.0 0.14065981432326988 48.461791241425466 14.735 1.341 15.84 3.06738 62.27982 62.70753 67.00654
0.33839 198300000.0 0.14450197491217376 47.875260447621045 14.732 1.354 15.94 2.51508 62.27111 62.71534 66.97076
0.3341 195600000.0 0.1479050583959223 47.741949160434324 14.673 1.327 16.15 2.6364 62.26242 62.72293 66.9349
0.32987 191800000.0 0.15111008890521463 47.17074041953812 14.585 1.357 15.92 3.44411 62.25378 62.73057 66.89951
0.32569 191100000.0 0.15388704108347168 46.13433326208873 14.576 1.4 15.78 3.15631 62.24516 62.73827 66.86424
0.32157 190700000.0 0.15652920324406047 44.60324665196219 14.573 1.434 16.0 3.20712 62.23647 62.74599 66.82925
0.31749 189900000.0 0.1586916582857478 44.720163590852366 14.559 1.463 16.08 3.03562 62.22761 62.75365 66.79427
0.31347 188500000.0 0.16060375400654733 44.60588750863907 14.532 1.649 15.62 3.18764 62.21879 62.76136 66.75949
0.3095 184700000.0 0.16240332137971708 43.15419016202477 14.438 1.636 15.52 3.2206 62.21018 62.76919 66.72506
0.30558 180300000.0 0.16395144104281945 43.511006866638425 14.33 1.696 15.42 3.3501 62.20158 62.77695 66.69073
0.30171 178600000.0 0.16527199870079523 41.5454046258957 14.291 1.765 15.42 2.99501 62.19299 62.78469 66.65653
0.29789 176900000.0 0.16648636866980004 40.78767766908137 14.251 1.799 15.36 3.30777 62.18444 62.79232 66.62271
0.29411 175400000.0 0.16767009137287187 40.165642344257606 14.216 1.821 15.42 3.25334 62.17561 62.79985 66.58942
0.29039 174400000.0 0.16845479480841402 38.61733217085547 14.196 1.88 15.37 3.59458 62.16689 62.8074 66.55618
0.28671 174000000.0 0.16916211517693067 38.08218849476981 14.191 1.889 15.26 2.62559 62.15839 62.81498 66.523
