scale M_vir R_vir R_max
1.000000e+00 3.718581e+08 1.480282e+01 8.763900e-01
9.873300e-01 4.039141e+08 1.530041e+01 9.546900e-01
9.748300e-01 3.980468e+08 1.530828e+01 9.992300e-01
9.624800e-01 3.922875e+08 1.531495e+01 9.925900e-01
9.502900e-01 3.469254e+08 1.477679e+01 8.394200e-01
9.382500e-01 3.835437e+08 1.535741e+01 1.000920e+00
9.263700e-01 3.557598e+08 1.505216e+01 9.050800e-01
9.146300e-01 3.579842e+08 1.515750e+01 9.254600e-01
9.030500e-01 4.609810e+08 1.656976e+01 1.373130e+00
8.916100e-01 3.760416e+08 1.555520e+01 1.022000e+00
8.803100e-01 3.163818e+08 1.475262e+01 8.008400e-01
8.691600e-01 3.418026e+08 1.520607e+01 9.388000e-01
8.581500e-01 3.639221e+08 1.559605e+01 1.025740e+00
8.472800e-01 3.673436e+08 1.571266e+01 1.084350e+00
8.365500e-01 3.158411e+08 1.500454e+01 8.814300e-01
8.259500e-01 3.401756e+08 1.544440e+01 9.901800e-01
8.154900e-01 2.804304e+08 1.454041e+01 8.103700e-01
8.051600e-01 4.199764e+08 1.670210e+01 1.405310e+00
7.949600e-01 3.287941e+08 1.545356e+01 9.640700e-01
7.848900e-01 3.514141e+08 1.586043e+01 1.105310e+00
7.749500e-01 3.913329e+08 1.650096e+01 1.340010e+00
7.651300e-01 4.552283e+08 1.741759e+01 1.762690e+00
7.554400e-01 4.451329e+08 1.734964e+01 1.724850e+00
7.458700e-01 3.806180e+08 1.652490e+01 1.347190e+00
7.364300e-01 4.055961e+08 1.693639e+01 1.557110e+00
7.271000e-01 3.297526e+08 1.585992e+01 1.163330e+00
7.178900e-01 3.573310e+08 1.634348e+01 1.285800e+00
7.087900e-01 3.035587e+08 1.552817e+01 1.061370e+00
6.998200e-01 3.838518e+08 1.684400e+01 1.543360e+00
6.909500e-01 3.715128e+08 1.671236e+01 1.458690e+00
6.822000e-01 3.368302e+08 1.622337e+01 1.329810e+00
6.735600e-01 3.494024e+08 1.647050e+01 1.429330e+00
6.650300e-01 3.892835e+08 1.712320e+01 1.557110e+00
6.566000e-01 3.603235e+08 1.673391e+01 1.483190e+00
6.482800e-01 2.848307e+08 1.551446e+01 1.120330e+00
6.400700e-01 2.945465e+08 1.573035e+01 1.128460e+00
