# ./contra 1 1 2 0 0 10.0 0.0 0.15 0.03 1.0 0.0
# Modified model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=10
# Baryon distribution: Hernquist (1990) model, fb=0.15 rb=0.03
# Tracer population: power law model with isotropic velocity distribution
# los velocity dispersion integrated out to 1 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.000e-04 4.423e-05 2.851e-07 1.446e-06 4.534e+04 2.285e+05 1.002 1.020 1.789e-01 0.000e+00
1.122e-04 4.964e-05 3.588e-07 1.817e-06 4.040e+04 2.032e+05 1.002 1.021 1.894e-01 0.000e+00
1.259e-04 5.572e-05 4.517e-07 2.283e-06 3.600e+04 1.806e+05 1.003 1.024 2.005e-01 0.000e+00
1.413e-04 6.254e-05 5.685e-07 2.869e-06 3.207e+04 1.605e+05 1.003 1.026 2.122e-01 0.000e+00
1.585e-04 7.021e-05 7.155e-07 3.603e-06 2.858e+04 1.426e+05 1.003 1.029 2.246e-01 0.000e+00
1.778e-04 7.881e-05 9.006e-07 4.525e-06 2.546e+04 1.267e+05 1.004 1.031 2.377e-01 0.000e+00
1.995e-04 8.848e-05 1.133e-06 5.682e-06 2.268e+04 1.125e+05 1.004 1.035 2.516e-01 0.000e+00
2.239e-04 9.933e-05 1.426e-06 7.132e-06 2.020e+04 9.980e+04 1.004 1.038 2.662e-01 0.000e+00
2.512e-04 1.115e-04 1.795e-06 8.949e-06 1.800e+04 8.854e+04 1.005 1.042 2.816e-01 0.000e+00
2.818e-04 1.252e-04 2.259e-06 1.123e-05 1.603e+04 7.852e+04 1.006 1.046 2.979e-01 0.000e+00
3.162e-04 1.406e-04 2.843e-06 1.408e-05 1.428e+04 6.959e+04 1.006 1.050 3.151e-01 0.000e+00
3.548e-04 1.579e-04 3.577e-06 1.765e-05 1.271e+04 6.165e+04 1.007 1.055 3.332e-01 0.000e+00
3.981e-04 1.773e-04 4.500e-06 2.211e-05 1.132e+04 5.458e+04 1.008 1.061 3.523e-01 0.000e+00
4.467e-04 1.992e-04 5.662e-06 2.769e-05 1.008e+04 4.829e+04 1.009 1.067 3.724e-01 0.000e+00
5.012e-04 2.237e-04 7.123e-06 3.467e-05 8.975e+03 4.269e+04 1.010 1.073 3.936e-01 0.000e+00
5.623e-04 2.513e-04 8.960e-06 4.337e-05 7.989e+03 3.771e+04 1.011 1.080 4.158e-01 0.000e+00
6.310e-04 2.824e-04 1.127e-05 5.423e-05 7.111e+03 3.329e+04 1.013 1.088 4.393e-01 0.000e+00
7.079e-04 3.173e-04 1.417e-05 6.776e-05 6.328e+03 2.935e+04 1.014 1.096 4.639e-01 0.000e+00
7.943e-04 3.566e-04 1.782e-05 8.460e-05 5.630e+03 2.586e+04 1.016 1.106 4.897e-01 0.000e+00
8.913e-04 4.008e-04 2.241e-05 1.055e-04 5.008e+03 2.276e+04 1.018 1.115 5.168e-01 0.000e+00
1.000e-03 4.506e-04 2.817e-05 1.316e-04 4.454e+03 2.000e+04 1.020 1.126 5.451e-01 0.000e+00
1.122e-03 5.067e-04 3.541e-05 1.639e-04 3.960e+03 1.756e+04 1.022 1.138 5.748e-01 0.000e+00
1.259e-03 5.698e-04 4.449e-05 2.039e-04 3.520e+03 1.539e+04 1.025 1.151 6.058e-01 0.000e+00
1.413e-03 6.409e-04 5.590e-05 2.534e-04 3.127e+03 1.347e+04 1.028 1.164 6.381e-01 0.000e+00
1.585e-03 7.211e-04 7.022e-05 3.145e-04 2.778e+03 1.177e+04 1.031 1.179 6.718e-01 0.000e+00
1.778e-03 8.116e-04 8.817e-05 3.899e-04 2.466e+03 1.027e+04 1.035 1.195 7.067e-01 0.000e+00
1.995e-03 9.136e-04 1.107e-04 4.827e-04 2.189e+03 8.940e+03 1.039 1.212 7.430e-01 0.000e+00
2.239e-03 1.029e-03 1.389e-04 5.968e-04 1.942e+03 7.768e+03 1.044 1.230 7.806e-01 0.000e+00
2.512e-03 1.159e-03 1.742e-04 7.366e-04 1.721e+03 6.735e+03 1.049 1.249 8.194e-01 0.000e+00
2.818e-03 1.306e-03 2.185e-04 9.076e-04 1.525e+03 5.827e+03 1.055 1.270 8.593e-01 0.000e+00
3.162e-03 1.472e-03 2.738e-04 1.116e-03 1.350e+03 5.028e+03 1.061 1.291 9.003e-01 0.000e+00
3.548e-03 1.660e-03 3.430e-04 1.370e-03 1.194e+03 4.328e+03 1.069 1.314 9.423e-01 0.000e+00
3.981e-03 1.873e-03 4.294e-04 1.679e-03 1.056e+03 3.715e+03 1.077 1.339 9.851e-01 0.000e+00
4.467e-03 2.114e-03 5.373e-04 2.053e-03 9.320e+02 3.180e+03 1.086 1.364 1.029e+00 0.000e+00
5.012e-03 2.388e-03 6.717e-04 2.503e-03 8.220e+02 2.713e+03 1.095 1.391 1.072e+00 0.000e+00
5.623e-03 2.699e-03 8.391e-04 3.046e-03 7.242e+02 2.308e+03 1.106 1.419 1.117e+00 0.000e+00
6.310e-03 3.051e-03 1.047e-03 3.697e-03 6.371e+02 1.957e+03 1.119 1.448 1.161e+00 0.000e+00
7.079e-03 3.453e-03 1.306e-03 4.475e-03 5.597e+02 1.654e+03 1.132 1.478 1.205e+00 0.000e+00
7.943e-03 3.909e-03 1.626e-03 5.403e-03 4.909e+02 1.393e+03 1.147 1.508 1.248e+00 0.000e+00
8.913e-03 4.429e-03 2.023e-03 6.504e-03 4.298e+02 1.169e+03 1.164 1.540 1.291e+00 0.000e+00
1.000e-02 5.023e-03 2.513e-03 7.806e-03 3.755e+02 9.769e+02 1.182 1.572 1.332e+00 0.000e+00
1.122e-02 5.700e-03 3.117e-03 9.341e-03 3.273e+02 8.136e+02 1.202 1.605 1.372e+00 0.000e+00
1.259e-02 6.475e-03 3.860e-03 1.114e-02 2.847e+02 6.751e+02 1.224 1.638 1.411e+00 0.000e+00
1.413e-02 7.361e-03 4.771e-03 1.325e-02 2.469e+02 5.580e+02 1.248 1.671 1.447e+00 0.000e+00
1.585e-02 8.376e-03 5.886e-03 1.571e-02 2.136e+02 4.595e+02 1.274 1.705 1.480e+00 0.000e+00
1.778e-02 9.540e-03 7.246e-03 1.856e-02 1.842e+02 3.769e+02 1.302 1.738 1.511e+00 0.000e+00
1.995e-02 1.088e-02 8.900e-03 2.186e-02 1.583e+02 3.079e+02 1.333 1.772 1.539e+00 0.000e+00
2.239e-02 1.241e-02 1.090e-02 2.566e-02 1.355e+02 2.506e+02 1.366 1.805 1.563e+00 0.000e+00
2.512e-02 1.418e-02 1.332e-02 3.002e-02 1.155e+02 2.032e+02 1.402 1.839 1.585e+00 0.000e+00
2.818e-02 1.621e-02 1.623e-02 3.500e-02 9.811e+01 1.641e+02 1.440 1.872 1.602e+00 0.000e+00
3.162e-02 1.854e-02 1.971e-02 4.067e-02 8.293e+01 1.320e+02 1.481 1.905 1.616e+00 0.000e+00
3.548e-02 2.124e-02 2.385e-02 4.710e-02 6.976e+01 1.058e+02 1.524 1.937 1.626e+00 0.000e+00
3.981e-02 2.434e-02 2.876e-02 5.437e-02 5.838e+01 8.453e+01 1.569 1.970 1.633e+00 0.000e+00
4.467e-02 2.791e-02 3.455e-02 6.256e-02 4.860e+01 6.725e+01 1.618 2.002 1.636e+00 0.000e+00
