# OmegaMatter = 0.3089
# OmegaDarkEnergy = 0.691008829245
# OmegaBaryon = 0.0486
# HubbleConstant = 67.74
# sigma_8 = 0.8159
# index = 0.9667
# temperatureCMB = 2.7255
# effectiveNumberNeutrinos = 3.046
# biasModel = cole89
# virialDensityContrast = NA
#
# mass		redshift	bias
1.000000e+10	0.0		 0.526322
3.593814e+10	0.0		 0.565481
1.291550e+11	0.0		 0.622985
4.641589e+11	0.0		 0.710018
1.668101e+12	0.0		 0.846395
5.994843e+12	0.0		 1.069327
2.154435e+13	0.0		 1.451018
7.742637e+13	0.0		 2.140754
2.782559e+14	0.0		 3.475611
1.000000e+15	0.0		 6.266857
1.000000e+10	0.5		 0.607887
3.593814e+10	0.5		 0.673825
1.291550e+11	0.5		 0.770651
4.641589e+11	0.5		 0.917199
1.668101e+12	0.5		 1.146836
5.994843e+12	0.5		 1.522215
2.154435e+13	0.5		 2.164918
7.742637e+13	0.5		 3.326318
2.782559e+14	0.5		 5.573991
1.000000e+15	0.5		10.273977
1.000000e+10	1.0		 0.728876
3.593814e+10	1.0		 0.834535
1.291550e+11	1.0		 0.989690
4.641589e+11	1.0		 1.224520
1.668101e+12	1.0		 1.592491
5.994843e+12	1.0		 2.194003
2.154435e+13	1.0		 3.223875
7.742637e+13	1.0		 5.084912
2.782559e+14	1.0		 8.686602
1.000000e+15	1.0		16.217898
