# OmegaMatter = 0.3089
# OmegaDarkEnergy = 0.691008829245
# OmegaBaryon = 0.0486
# HubbleConstant = 67.74
# sigma_8 = 0.8159
# index = 0.9667
# temperatureCMB = 2.7255
# effectiveNumberNeutrinos = 3.046
# biasModel = sheth01
# virialDensityContrast = NA
#
# mass		redshift	bias
1.000000e+10	0.0		 0.734267
3.593814e+10	0.0		 0.753420
1.291550e+11	0.0		 0.789104
4.641589e+11	0.0		 0.850877
1.668101e+12	0.0		 0.954963
5.994843e+12	0.0		 1.130743
2.154435e+13	0.0		 1.433610
7.742637e+13	0.0		 1.975495
2.782559e+14	0.0		 3.004984
1.000000e+15	0.0		 5.112369
1.000000e+10	0.5		 0.779165
3.593814e+10	0.5		 0.824471
1.291550e+11	0.5		 0.896504
4.641589e+11	0.5		 1.010418
1.668101e+12	0.5		 1.192284
5.994843e+12	0.5		 1.489924
2.154435e+13	0.5		 1.994336
7.742637e+13	0.5		 2.890808
2.782559e+14	0.5		 4.593047
1.000000e+15	0.5		 8.087258
1.000000e+10	1.0		 0.864914
3.593814e+10	1.0		 0.945736
1.291550e+11	1.0		 1.067630
4.641589e+11	1.0		 1.253988
1.668101e+12	1.0		 1.545425
5.994843e+12	1.0		 2.017001
2.154435e+13	1.0		 2.812343
7.742637e+13	1.0		 4.225198
2.782559e+14	1.0		 6.913473
1.000000e+15	1.0		12.449322
