# OmegaMatter = 0.3089
# OmegaDarkEnergy = 0.691008829245
# OmegaBaryon = 0.0486
# HubbleConstant = 67.74
# sigma_8 = 0.8159
# index = 0.9667
# temperatureCMB = 2.7255
# effectiveNumberNeutrinos = 3.046
# biasModel = tinker10
# virialDensityContrast = 200c
#
# mass		redshift	bias
1.000000e+10	0.0		 0.713842
3.593814e+10	0.0		 0.733832
1.291550e+11	0.0		 0.767995
4.641589e+11	0.0		 0.826128
1.668101e+12	0.0		 0.926311
5.994843e+12	0.0		 1.104076
2.154435e+13	0.0		 1.432440
7.742637e+13	0.0		 2.072603
2.782559e+14	0.0		 3.417172
1.000000e+15	0.0		 6.504733
1.000000e+10	0.5		 0.720447
3.593814e+10	0.5		 0.763693
1.291550e+11	0.5		 0.831066
4.641589e+11	0.5		 0.938685
1.668101e+12	0.5		 1.116286
5.994843e+12	0.5		 1.422360
2.154435e+13	0.5		 1.977201
7.742637e+13	0.5		 3.046886
2.782559e+14	0.5		 5.280910
1.000000e+15	0.5		10.401190
1.000000e+10	1.0		 0.785659
3.593814e+10	1.0		 0.860734
1.291550e+11	1.0		 0.975340
4.641589e+11	1.0		 1.155846
1.668101e+12	1.0		 1.451037
5.994843e+12	1.0		 1.957174
2.154435e+13	1.0		 2.872860
7.742637e+13	1.0		 4.638829
2.782559e+14	1.0		 8.334269
1.000000e+15	1.0		16.828935
