# Mean mass accretion histories for 10^12.5Msun halos from Andrew Hearin's diffmah model
# Specifically taken from the files:
#  https://github.com/ArgonneCPAC/diffmah/blob/bd271aa49e691c82774b7d6fa04ad3c4b1db306d/diffmah/tests/testing_data/logt_testing_array.dat
#  https://github.com/ArgonneCPAC/diffmah/blob/bd271aa49e691c82774b7d6fa04ad3c4b1db306d/diffmah/tests/testing_data/log_mah_vs_time_rockstar_default_logmp_12.5_early.dat
#  https://github.com/ArgonneCPAC/diffmah/blob/bd271aa49e691c82774b7d6fa04ad3c4b1db306d/diffmah/tests/testing_data/log_mah_vs_time_rockstar_default_logmp_12.5_late.dat
#
# log10(time)                   log10(mass [early forming])     log10(mass [late forming])
-1.000000000000000000e+00       7.059904575347900391e+00        8.664312362670898438e+00
-4.206831358105973528e-01       8.832804679870605469e+00        9.723621368408203125e+00
-1.809935576974107674e-01       9.700358390808105469e+00        1.017629051208496094e+01
-2.743824834693956577e-02       1.028055095672607422e+01        1.047473430633544922e+01
8.577825110085549043e-02        1.069642257690429688e+01        1.070013332366943359e+01
1.754999798875569172e-01        1.100461673736572266e+01        1.088218116760253906e+01
2.498220749791495998e-01        1.123863792419433594e+01        1.103509998321533203e+01
3.132644520809928501e-01        1.142010593414306641e+01        1.116682815551757812e+01
3.686094066473931674e-01        1.156352329254150391e+01        1.128226852416992188e+01
4.176919451542849826e-01        1.167886066436767578e+01        1.138468551635742188e+01
4.617863154289603700e-01        1.177310562133789062e+01        1.147637653350830078e+01
5.018135126251564992e-01        1.185124588012695312e+01        1.155903148651123047e+01
5.384608780804216455e-01        1.191690254211425781e+01        1.163394451141357422e+01
5.722550097019158954e-01        1.197274398803710938e+01        1.170213031768798828e+01
6.036082798908231073e-01        1.202076721191406250e+01        1.176441192626953125e+01
6.328496554531878315e-01        1.206248664855957031e+01        1.182146358489990234e+01
6.602457765065475881e-01        1.209906768798828125e+01        1.187385368347167969e+01
6.860157702541591629e-01        1.213141536712646484e+01        1.192206382751464844e+01
7.103419093634325554e-01        1.216024303436279297e+01        1.196650886535644531e+01
7.333774397042218673e-01        1.218611621856689453e+01        1.200755023956298828e+01
7.552524342375361854e-01        1.220949077606201172e+01        1.204550266265869141e+01
7.760782417607783312e-01        1.223073387145996094e+01        1.208064556121826172e+01
7.959509167780590699e-01        1.225014781951904297e+01        1.211322593688964844e+01
8.149538982913923091e-01        1.226798057556152344e+01        1.214346504211425781e+01
8.331601266262791405e-01        1.228443813323974609e+01        1.217156028747558594e+01
8.506337340825661508e-01        1.229969120025634766e+01        1.219769096374511719e+01
8.674314083983130086e-01        1.231388568878173828e+01        1.222201442718505859e+01
8.836035021872270523e-01        1.232714462280273438e+01        1.224467849731445312e+01
8.991949431084194089e-01        1.233957099914550781e+01        1.226581287384033203e+01
9.142459862322095399e-01        1.235125541687011719e+01        1.228553771972656250e+01
9.287928403364199559e-01        1.236227321624755859e+01        1.230395984649658203e+01
9.428681926629854937e-01        1.237269210815429688e+01        1.232118034362792969e+01
9.565016512708208740e-01        1.238257026672363281e+01        1.233728790283203125e+01
9.697201200413365640e-01        1.239195632934570312e+01        1.235236644744873047e+01
9.825481182780855249e-01        1.240089607238769531e+01        1.236648941040039062e+01
9.950080544425009554e-01        1.240942859649658203e+01        1.237972831726074219e+01
1.007120461703869818e+00        1.241758632659912109e+01        1.239214515686035156e+01
1.018904201522653041e+00        1.242540168762207031e+01        1.240379905700683594e+01
1.030376640335747274e+00        1.243290138244628906e+01        1.241474246978759766e+01
1.041553803498749708e+00        1.244010925292968750e+01        1.242502593994140625e+01
1.052450509910222598e+00        1.244704627990722656e+01        1.243469524383544922e+01
1.063080490155904778e+00        1.245373344421386719e+01        1.244379043579101562e+01
1.073456490536016661e+00        1.246018695831298828e+01        1.245235157012939453e+01
1.083590364952679908e+00        1.246642398834228516e+01        1.246041393280029297e+01
1.093493156318802839e+00        1.247245788574218750e+01        1.246800994873046875e+01
1.103175168890442093e+00        1.247830200195312500e+01        1.247517108917236328e+01
1.112646032710560728e+00        1.248396778106689453e+01        1.248192596435546875e+01
1.121914761174585884e+00        1.248946571350097656e+01        1.248829936981201172e+01
1.130989802580331771e+00        1.249480724334716797e+01        1.249431705474853516e+01
1.139879086401236474e+00        1.250000000000000000e+01        1.250000000000000000e+01
